"#sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","Result_value","Result_error_delta","result_type_code","reportable_result","detect_flag","Lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","Result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg"
"2009MUS0S11","E351.2","05/29/2020 15:06:00","T","NA","initial","WS","LB","NA","","1","METHOD","05/28/2020 14:14:00","","","ALSRNY","quant","R2004299-001","","20","mL","","","","","20","mL","KN","NITROGEN, KJELDAHL, TOTAL","0.42","","TRG","Yes","Y","","","","","0.10","","0.10","mg/l","mg/l","","0.10","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","SM2120B","05/27/2020 14:00:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-001","","0","mL","","","","","","","PHCOLOR","pH of Color Analysis","7.53","","TRG","Yes","Y","","","","","","","","pH units","pH units","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","E365.1","05/26/2020 16:48:00","T","NA","initial","WS","LB","NA","","1","METHOD","05/23/2020 10:43:00","","","ALSRNY","quant","R2004299-001","","20","mL","","","","","20","mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)","0.0221","","TRG","Yes","Y","","","","","0.0036","","0.0050","mg/l","mg/l","","0.0036","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","E300.0","05/22/2020 23:30:00","T","NA","initial","WS","LB","NA","","10","","","","","ALSRNY","quant","R2004299-001","","10","mL","","","","","10","mL","14808-79-8","SULFATE (AS SO4)","3.9","","TRG","Yes","Y","","","","","0.4","","2.0","mg/l","mg/l","","0.4","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","SM5310C","05/26/2020 19:22:00","D","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-002","","42","mL","","","","","42","mL","DOC","Carbon, Dissolved Organic (DOC)","5.1","","TRG","Yes","Y","","","","","0.5","","1.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","E365.1","05/26/2020 15:35:00","D","NA","initial","WS","LB","NA","","1","METHOD","05/23/2020 10:43:00","","","ALSRNY","quant","R2004299-002","","20","mL","","","","","20","mL","7723-14-0","PHOSPHORUS, DISSOLVED (AS P)","0.0079","","TRG","Yes","Y","","","","","0.0036","","0.0050","mg/l","mg/l","","0.0036","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","SM 2320 B","05/27/2020 16:08:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-003","","0","mL","","","","","","","ALK","ALKALINITY, TOTAL (AS CaCO3)","54.0","","TRG","Yes","Y","","","","","1.8","","2.0","mg/l","mg/l","","1.8","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","E350.1","05/22/2020 19:08:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-003","","10","mL","","","","","10","mL","7664-41-7","Nitrogen, ammonia (As N)","0.063","","TRG","Yes","Y","","","","","0.003","","0.010","mg/l","mg/l","","0.003","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","SM5310C","05/26/2020 21:07:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-003","","42","mL","","","","","42","mL","TOC","TOTAL ORGANIC CARBON","5.3","","TRG","Yes","Y","","","","","0.5","","1.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","E300.0","05/22/2020 23:37:00","T","NA","initial","WS","LB","NA","","10","","","","","ALSRNY","quant","R2004299-003","","10","mL","","","","","10","mL","16887-00-6","CHLORIDE (AS CL)","8.5","","TRG","Yes","Y","","","","","0.5","","2.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","SM2120B","05/21/2020 16:00:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-003","","0","mL","","","","","","","COLOR","Color, True","18.0","","TRG","Yes","Y","","","","","","","5.0","color unit","color unit","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","SM2340B","05/28/2020 22:32:00","T","NA","initial","WS","LB","NA","","1","","05/27/2020 00:00:00","","","ALSRNY","quant","R2004299-003","","0","mL","","","","","","","HARD","HARDNESS (AS CACO3)","57.0","","TRG","Yes","Y","","","","","","","6.62","mg/l","mg/l","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","Calculation","05/21/2020 20:16:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-003","","0","mL","","","","","","","14797-55-8","NITROGEN, NITRATE (AS N)","","","TRG","Yes","N","U","","U","","","0.05","0.05","mg/l","mg/l","","","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","E353.2","05/26/2020 22:22:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-003","","10","mL","","","","","10","mL","NO3NO2N","Nitrate+Nitrite as Nitrogen","0.0055","","TRG","Yes","Y","","","","","0.0015","","0.0020","mg/l","mg/l","","0.0015","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","E353.2","05/21/2020 20:16:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-003","","10","mL","","","","","10","mL","14797-65-0","NITROGEN, NITRITE","","","TRG","Yes","N","U","","U","","0.007","0.007","0.010","mg/l","mg/l","","0.007","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","E351.2","05/29/2020 15:06:00","T","NA","initial","WS","LB","NA","","1","METHOD","05/28/2020 14:14:00","","","ALSRNY","quant","R2004299-003","","20","mL","","","","","20","mL","KN","NITROGEN, KJELDAHL, TOTAL","0.29","","TRG","Yes","Y","","","","","0.10","","0.10","mg/l","mg/l","","0.10","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","SM2120B","05/27/2020 14:00:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-003","","0","mL","","","","","","","PHCOLOR","pH of Color Analysis","7.47","","TRG","Yes","Y","","","","","","","","pH units","pH units","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","E365.1","05/26/2020 16:51:00","T","NA","initial","WS","LB","NA","","1","METHOD","05/23/2020 10:43:00","","","ALSRNY","quant","R2004299-003","","20","mL","","","","","20","mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)","0.0273","","TRG","Yes","Y","","","","","0.0036","","0.0050","mg/l","mg/l","","0.0036","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","E300.0","05/22/2020 23:37:00","T","NA","initial","WS","LB","NA","","10","","","","","ALSRNY","quant","R2004299-003","","10","mL","","","","","10","mL","14808-79-8","SULFATE (AS SO4)","3.7","","TRG","Yes","Y","","","","","0.4","","2.0","mg/l","mg/l","","0.4","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","SM5310C","05/26/2020 21:27:00","D","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-004","","42","mL","","","","","42","mL","DOC","Carbon, Dissolved Organic (DOC)","5.2","","TRG","Yes","Y","","","","","0.5","","1.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S12","E365.1","05/26/2020 15:36:00","D","NA","initial","WS","LB","NA","","1","METHOD","05/23/2020 10:43:00","","","ALSRNY","quant","R2004299-004","","20","mL","","","","","20","mL","7723-14-0","PHOSPHORUS, DISSOLVED (AS P)","0.0120","","TRG","Yes","Y","","","","","0.0036","","0.0050","mg/l","mg/l","","0.0036","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","SM 2320 B","05/28/2020 05:07:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-005","","0","mL","","","","","","","ALK","ALKALINITY, TOTAL (AS CaCO3)","56.4","","TRG","Yes","Y","","","","","1.8","","2.0","mg/l","mg/l","","1.8","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","E350.1","05/22/2020 19:09:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-005","","10","mL","","","","","10","mL","7664-41-7","Nitrogen, ammonia (As N)","0.039","","TRG","Yes","Y","","","","","0.003","","0.010","mg/l","mg/l","","0.003","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","SM5310C","05/26/2020 21:48:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-005","","42","mL","","","","","42","mL","TOC","TOTAL ORGANIC CARBON","8.9","","TRG","Yes","Y","","","","","0.5","","1.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","E300.0","05/22/2020 23:44:00","T","NA","initial","WS","LB","NA","","10","","","","","ALSRNY","quant","R2004299-005","","10","mL","","","","","10","mL","16887-00-6","CHLORIDE (AS CL)","","","TRG","Yes","N","U","","U","","0.5","0.5","2.0","mg/l","mg/l","","0.5","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","SM10200H","05/29/2020 12:00:00","T","NA","initial","WS","LB","NA","","2","","","","","ALSRNY","quant","R2004299-005","","250","mL","","","","","","","479-61-8","Chlorophyll A","8.86","","TRG","Yes","Y","","","","","","","0.32","ug/l","ug/l","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","SM2120B","05/21/2020 16:00:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-005","","0","mL","","","","","","","COLOR","Color, True","32.0","","TRG","Yes","Y","","","","","","","5.0","color unit","color unit","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","SM2340B","05/28/2020 22:35:00","T","NA","initial","WS","LB","NA","","1","","05/27/2020 00:00:00","","","ALSRNY","quant","R2004299-005","","0","mL","","","","","","","HARD","HARDNESS (AS CACO3)","62.8","","TRG","Yes","Y","","","","","","","6.62","mg/l","mg/l","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","Calculation","05/21/2020 20:17:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-005","","0","mL","","","","","","","14797-55-8","NITROGEN, NITRATE (AS N)","","","TRG","Yes","N","U","","U","","","0.05","0.05","mg/l","mg/l","","","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","E353.2","05/26/2020 22:26:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-005","","10","mL","","","","","10","mL","NO3NO2N","Nitrate+Nitrite as Nitrogen","0.0063","","TRG","Yes","Y","","","","","0.0015","","0.0020","mg/l","mg/l","","0.0015","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","E353.2","05/21/2020 20:17:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-005","","10","mL","","","","","10","mL","14797-65-0","NITROGEN, NITRITE","","","TRG","Yes","N","U","","U","","0.007","0.007","0.010","mg/l","mg/l","","0.007","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","E351.2","05/29/2020 12:50:00","T","NA","initial","WS","LB","NA","","1","METHOD","05/28/2020 14:52:00","","","ALSRNY","quant","R2004299-005","","20","mL","","","","","20","mL","KN","NITROGEN, KJELDAHL, TOTAL","0.85","","TRG","Yes","Y","","","","","0.10","","0.10","mg/l","mg/l","","0.10","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","SM2120B","05/27/2020 14:00:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-005","","0","mL","","","","","","","PHCOLOR","pH of Color Analysis","7.51","","TRG","Yes","Y","","","","","","","","pH units","pH units","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","E365.1","05/26/2020 16:56:00","T","NA","initial","WS","LB","NA","","1","METHOD","05/23/2020 10:43:00","","","ALSRNY","quant","R2004299-005","","20","mL","","","","","20","mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)","0.0369","","TRG","Yes","Y","","","","","0.0036","","0.0050","mg/l","mg/l","","0.0036","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","E300.0","05/22/2020 23:44:00","T","NA","initial","WS","LB","NA","","10","","","","","ALSRNY","quant","R2004299-005","","10","mL","","","","","10","mL","14808-79-8","SULFATE (AS SO4)","","","TRG","Yes","N","U","","U","","0.4","0.4","2.0","mg/l","mg/l","","0.4","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","SM5310C","05/26/2020 22:09:00","D","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-006","","42","mL","","","","","42","mL","DOC","Carbon, Dissolved Organic (DOC)","9.0","","TRG","Yes","Y","","","","","0.5","","1.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009 HIC0S11","E365.1","05/26/2020 15:37:00","D","NA","initial","WS","LB","NA","","1","METHOD","05/23/2020 10:43:00","","","ALSRNY","quant","R2004299-006","","20","mL","","","","","20","mL","7723-14-0","PHOSPHORUS, DISSOLVED (AS P)","0.0077","","TRG","Yes","Y","","","","","0.0036","","0.0050","mg/l","mg/l","","0.0036","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","SM 2320 B","05/27/2020 16:26:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-007","","0","mL","","","","","","","ALK","ALKALINITY, TOTAL (AS CaCO3)","77.6","","TRG","Yes","Y","","","","","1.8","","2.0","mg/l","mg/l","","1.8","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","E350.1","05/22/2020 19:13:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-007","","10","mL","","","","","10","mL","7664-41-7","Nitrogen, ammonia (As N)","0.016","","TRG","Yes","Y","","","","","0.003","","0.010","mg/l","mg/l","","0.003","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","SM5310C","05/26/2020 22:30:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-007","","42","mL","","","","","42","mL","TOC","TOTAL ORGANIC CARBON","9.6","","TRG","Yes","Y","","","","","0.5","","1.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","E300.0","05/22/2020 23:51:00","T","NA","initial","WS","LB","NA","","10","","","","","ALSRNY","quant","R2004299-007","","10","mL","","","","","10","mL","16887-00-6","CHLORIDE (AS CL)","3.2","","TRG","Yes","Y","","","","","0.5","","2.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","SM2120B","05/21/2020 16:00:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-007","","0","mL","","","","","","","COLOR","Color, True","32.0","","TRG","Yes","Y","","","","","","","5.0","color unit","color unit","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","SM2340B","05/28/2020 22:38:00","T","NA","initial","WS","LB","NA","","1","","05/27/2020 00:00:00","","","ALSRNY","quant","R2004299-007","","0","mL","","","","","","","HARD","HARDNESS (AS CACO3)","83.6","","TRG","Yes","Y","","","","","","","6.62","mg/l","mg/l","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","Calculation","05/21/2020 20:17:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-007","","0","mL","","","","","","","14797-55-8","NITROGEN, NITRATE (AS N)","","","TRG","Yes","N","U","","U","","","0.05","0.05","mg/l","mg/l","","","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","E353.2","05/26/2020 22:28:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-007","","10","mL","","","","","10","mL","NO3NO2N","Nitrate+Nitrite as Nitrogen","","","TRG","Yes","N","U","","U","","0.0015","0.0015","0.0020","mg/l","mg/l","","0.0015","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","E353.2","05/21/2020 20:17:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-007","","10","mL","","","","","10","mL","14797-65-0","NITROGEN, NITRITE","","","TRG","Yes","N","U","","U","","0.007","0.007","0.010","mg/l","mg/l","","0.007","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","E351.2","05/29/2020 15:27:00","T","NA","initial","WS","LB","NA","","1","METHOD","05/28/2020 14:52:00","","","ALSRNY","quant","R2004299-007","","20","mL","","","","","20","mL","KN","NITROGEN, KJELDAHL, TOTAL","0.72","","TRG","Yes","Y","","","","","0.10","","0.10","mg/l","mg/l","","0.10","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","SM2120B","05/27/2020 14:00:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-007","","0","mL","","","","","","","PHCOLOR","pH of Color Analysis","7.65","","TRG","Yes","Y","","","","","","","","pH units","pH units","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","E365.1","05/26/2020 16:59:00","T","NA","initial","WS","LB","NA","","1","METHOD","05/23/2020 10:43:00","","","ALSRNY","quant","R2004299-007","","20","mL","","","","","20","mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)","0.0327","","TRG","Yes","Y","","","","","0.0036","","0.0050","mg/l","mg/l","","0.0036","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","E300.0","05/22/2020 23:51:00","T","NA","initial","WS","LB","NA","","10","","","","","ALSRNY","quant","R2004299-007","","10","mL","","","","","10","mL","14808-79-8","SULFATE (AS SO4)","10.7","","TRG","Yes","Y","","","","","0.4","","2.0","mg/l","mg/l","","0.4","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","SM5310C","05/26/2020 22:51:00","D","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-008","","42","mL","","","","","42","mL","DOC","Carbon, Dissolved Organic (DOC)","9.4","","TRG","Yes","Y","","","","","0.5","","1.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S12","E365.1","05/26/2020 15:38:00","D","NA","initial","WS","LB","NA","","1","METHOD","05/23/2020 10:43:00","","","ALSRNY","quant","R2004299-008","","20","mL","","","","","20","mL","7723-14-0","PHOSPHORUS, DISSOLVED (AS P)","0.0115","","TRG","Yes","Y","","","","","0.0036","","0.0050","mg/l","mg/l","","0.0036","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S11","SM 2320 B","05/28/2020 05:15:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-009","","0","mL","","","","","","","ALK","ALKALINITY, TOTAL (AS CaCO3)","73.6","","TRG","Yes","Y","","","","","1.8","","2.0","mg/l","mg/l","","1.8","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S11","E350.1","05/22/2020 19:14:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-009","","10","mL","","","","","10","mL","7664-41-7","Nitrogen, ammonia (As N)","","","TRG","Yes","N","U","","U","","0.003","0.003","0.010","mg/l","mg/l","","0.003","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S11","SM5310C","05/26/2020 23:12:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-009","","42","mL","","","","","42","mL","TOC","TOTAL ORGANIC CARBON","9.1","","TRG","Yes","Y","","","","","0.5","","1.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S11","E300.0","05/22/2020 23:58:00","T","NA","initial","WS","LB","NA","","10","","","","","ALSRNY","quant","R2004299-009","","10","mL","","","","","10","mL","16887-00-6","CHLORIDE (AS CL)","3.2","","TRG","Yes","Y","","","","","0.5","","2.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S11","SM10200H","05/29/2020 12:00:00","T","NA","initial","WS","LB","NA","","2","","","","","ALSRNY","quant","R2004299-009","","250","mL","","","","","","","479-61-8","Chlorophyll A","3.53","","TRG","Yes","Y","","","","","","","0.32","ug/l","ug/l","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S11","SM2120B","05/21/2020 16:00:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-009","","0","mL","","","","","","","COLOR","Color, True","35.0","","TRG","Yes","Y","","","","","","","5.0","color unit","color unit","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S11","SM2340B","05/28/2020 22:41:00","T","NA","initial","WS","LB","NA","","1","","05/27/2020 00:00:00","","","ALSRNY","quant","R2004299-009","","0","mL","","","","","","","HARD","HARDNESS (AS CACO3)","84.3","","TRG","Yes","Y","","","","","","","6.62","mg/l","mg/l","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S11","Calculation","05/21/2020 20:18:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-009","","0","mL","","","","","","","14797-55-8","NITROGEN, NITRATE (AS N)","","","TRG","Yes","N","U","","U","","","0.05","0.05","mg/l","mg/l","","","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S11","E353.2","05/26/2020 22:31:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-009","","10","mL","","","","","10","mL","NO3NO2N","Nitrate+Nitrite as Nitrogen","0.0052","","TRG","Yes","Y","","","","","0.0015","","0.0020","mg/l","mg/l","","0.0015","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUD03S11","E353.2","05/21/2020 20:18:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-009","","10","mL","","","","","10","mL","14797-65-0","NITROGEN, NITRITE","","","TRG","Yes","N","U","","U","","0.007","0.007","0.010","mg/l","mg/l","","0.007","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
